Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity_category,cluster_1,cluster_2,cluster_3,best_feature,optimal_value,predicted_increase
399.0,Rodrigo y Gabriela,Logos - Area 52 Version,7fJnpgXf1yw7BVt0GUgfp0,10,2012,acoustic,0.65,0.608,4,-8.274,0,0.0461,0.886,0.924,0.102,0.119,129.996,286187,4,Low,False,True,False,speechiness,0.0273444444444444,5.2566692227878775
400.0,Greg Laswell,New Year's Eves,4q4WHMr06TpvYlV9rh25lp,15,2012,acoustic,0.36,0.602,8,-6.884,1,0.0319,0.451,5.78e-05,0.116,0.204,169.938,202387,4,Low,True,False,False,instrumentalness,0.0,2.103069861295708
401.0,Mindy Smith,Come To Jesus,3WLR9FPAIojSNiX27BB1l2,12,2012,acoustic,0.535,0.371,8,-10.401,1,0.0335,0.591,0.0,0.101,0.153,146.1,254267,4,Low,True,False,False,loudness,0.0,2.1587942660867228
402.0,Frank Turner,Try This At Home,6lgDndt95hRxXS5j8OaMyO,14,2012,acoustic,0.508,0.908,7,-4.188,1,0.042,0.0344,0.0,0.574,0.845,134.81,112960,4,Low,False,False,False,valence,0.645,2.503217287374575
403.0,Drew Holcomb & The Neighbors,Ain't Nothing Like the Real Thing,3k6RBcCUzldU28jdhstSFt,12,2012,acoustic,0.462,0.676,0,-6.987,1,0.0285,0.084,4.07e-05,0.113,0.759,157.432,229088,4,Low,False,False,False,danceability,0.662,1.6175126228178731
404.0,Drew Holcomb & The Neighbors,Long Monday,7G097EcnwP2Ijbt6dbTQU5,12,2012,acoustic,0.665,0.338,0,-13.108,1,0.0466,0.868,0.000761,0.102,0.218,76.589,213285,4,Low,True,False,False,loudness,0.0,3.017582845790706
405.0,Amy Stroup,Fell Like a Feather,3R53PzUKksFwPnCqEAUcRt,10,2012,acoustic,0.71,0.304,9,-14.561,1,0.0317,0.799,0.0355,0.0897,0.311,108.596,251640,4,Low,True,False,False,speechiness,0.0,0.8838537994635729
406.0,Toto Sorioso,Saving Forever For You,2l2ezBMXEfD7o6VLN1KXcA,28,2012,acoustic,0.681,0.371,4,-9.96,0,0.0368,0.783,0.0,0.105,0.488,132.882,255240,4,Low,True,False,False,valence,0.288,1.3547023153619229
407.0,Ron Pope,Bitterness or Sympathy,1MKgoDlcbAQCbcZIDAftC3,15,2012,acoustic,0.563,0.439,1,-9.515,1,0.0283,0.134,1.25e-05,0.109,0.512,141.89,245907,4,Low,False,False,False,loudness,0.0,2.619094481921461
408.0,Erin McCarley,What I Needed,2XliH3CK8MJrnpChahc4Mj,16,2012,acoustic,0.682,0.344,1,-7.52,0,0.0292,0.566,7.92e-06,0.112,0.26,97.001,218240,3,Low,True,False,False,acousticness,0.3659999999999999,0.9891490800585174
409.0,Kris Allen,Rooftops,1L1YkLIi6vpNPwW1db7o8J,14,2012,acoustic,0.749,0.805,7,-5.682,1,0.0688,0.0779,0.0,0.184,0.624,86.988,182400,4,Low,False,False,False,valence,0.424,1.1476976000417525
